                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.16113,                0.18987,                0.98892,                 0.9802,                      1,                0.98727,                0.95567,                0.34728,                0.31049,                0.52594,              0.0009704,              0.0009704,              0.0009704
                     54,                0.15221,                0.19456,                0.98681,                0.98169,                      1,                0.98656,                0.95294,                0.33988,                0.27951,                0.52052,              0.0009506,              0.0009506,              0.0009506
                     55,                0.14534,                0.19159,                0.98399,                0.97853,                      1,                0.98679,                0.95435,                0.26099,                0.24697,                0.42899,              0.0009308,              0.0009308,              0.0009308
                     56,                0.14443,                0.19767,                0.98103,                0.98314,                      1,                0.98559,                0.95444,                0.28951,                 0.2946,                 0.4857,               0.000911,               0.000911,               0.000911
                     57,                0.14571,                0.19131,                0.98534,                0.97777,                0.98462,                0.98691,                0.95009,                0.28964,                 0.2643,                0.43863,              0.0008912,              0.0008912,              0.0008912
                     58,                 0.1566,                0.19265,                0.98848,                0.97969,                      1,                0.98845,                0.95677,                0.30306,                 0.2799,                0.48211,              0.0008714,              0.0008714,              0.0008714
                     59,                0.14408,                 0.1927,                0.98534,                0.98113,                      1,                0.98604,                0.95733,                 0.2715,                0.25796,                0.46757,              0.0008516,              0.0008516,              0.0008516
                     60,                0.13863,                0.19192,                0.98304,                0.98174,                      1,                  0.987,                0.95855,                0.24789,                 0.2615,                0.42713,              0.0008318,              0.0008318,              0.0008318
                     61,                0.14234,                0.18473,                0.98758,                 0.9802,                      1,                0.98477,                0.95253,                0.29421,                0.25978,                0.47651,               0.000812,               0.000812,               0.000812
                     62,                0.14077,                0.18171,                0.98018,                0.98174,                      1,                0.98567,                0.95727,                0.28817,                0.26821,                0.47204,              0.0007922,              0.0007922,              0.0007922
                     63,                0.14057,                0.18342,                0.97984,                0.98029,                      1,                0.98669,                0.95162,                0.32335,                 0.2794,                0.50462,              0.0007724,              0.0007724,              0.0007724
                     64,                0.14245,                0.18529,                0.98157,                0.98162,                      1,                0.98734,                0.95755,                0.27957,                0.28929,                0.48489,              0.0007526,              0.0007526,              0.0007526
                     65,                0.14596,                0.18533,                0.98287,                0.97937,                      1,                0.98733,                 0.9536,                0.30984,                0.27821,                0.48301,              0.0007328,              0.0007328,              0.0007328
                     66,                0.13861,                0.18903,                0.97615,                0.98189,                      1,                0.98671,                0.95677,                0.31367,                0.26911,                0.50502,               0.000713,               0.000713,               0.000713
                     67,                0.14859,                0.18416,                0.98559,                 0.9802,                      1,                0.98764,                 0.9605,                0.29738,                0.28741,                0.46072,              0.0006932,              0.0006932,              0.0006932
                     68,                 0.1334,                0.17892,                0.97273,                0.98167,                      1,                0.98622,                0.95324,                0.29972,                0.29189,                0.47981,              0.0006734,              0.0006734,              0.0006734
                     69,                 0.1381,                0.17897,                0.98152,                0.98156,                      1,                0.98805,                0.95693,                 0.2635,                0.27252,                0.45277,              0.0006536,              0.0006536,              0.0006536
                     70,                0.13854,                0.17889,                0.97468,                0.98162,                      1,                0.98592,                0.95207,                0.30332,                0.30812,                0.47923,              0.0006338,              0.0006338,              0.0006338
                     71,                0.14131,                0.18339,                0.98465,                0.98031,                      1,                0.98644,                0.96022,                 0.2951,                0.28764,                0.47073,               0.000614,               0.000614,               0.000614
                     72,                0.13406,                0.17477,                0.97772,                0.97813,                0.99846,                0.98665,                0.95492,                0.31153,                0.27027,                 0.4641,              0.0005942,              0.0005942,              0.0005942
                     73,                0.14225,                0.18365,                0.98241,                0.98187,                      1,                0.98471,                  0.954,                0.27233,                0.27887,                0.44803,              0.0005744,              0.0005744,              0.0005744
                     74,                0.12571,                0.17848,                0.97795,                0.97744,                 0.9999,                0.98636,                0.95512,                0.23374,                0.26833,                 0.3955,              0.0005546,              0.0005546,              0.0005546
                     75,                0.13551,                0.17629,                0.98514,                0.98051,                0.99846,                0.98685,                0.96182,                0.28003,                0.29396,                0.46554,              0.0005348,              0.0005348,              0.0005348
                     76,                0.12633,                0.17334,                0.96858,                0.98163,                      1,                0.98646,                0.95397,                0.31297,                 0.3115,                0.48427,               0.000515,               0.000515,               0.000515
                     77,                0.12935,                0.17466,                 0.9741,                0.98251,                      1,                 0.9859,                0.95488,                0.29009,                0.27916,                0.46118,              0.0004952,              0.0004952,              0.0004952
                     78,                0.13096,                0.17991,                0.97777,                 0.9809,                      1,                0.98789,                0.96064,                0.23327,                0.25374,                0.40229,              0.0004754,              0.0004754,              0.0004754
                     79,                0.12461,                0.16783,                0.97171,                0.97986,                      1,                 0.9868,                0.96156,                0.27541,                0.29717,                0.45406,              0.0004556,              0.0004556,              0.0004556
                     80,                0.13106,                 0.1755,                0.97504,                0.97981,                      1,                0.98726,                0.95237,                0.26911,                0.28168,                0.43229,              0.0004358,              0.0004358,              0.0004358
                     81,                0.12707,                0.17501,                0.97991,                0.98159,                      1,                0.98626,                0.96226,                0.22265,                0.27511,                0.37386,               0.000416,               0.000416,               0.000416
                     82,                0.12371,                0.17561,                0.97509,                0.98167,                      1,                0.98751,                0.96261,                0.24845,                0.29131,                0.39552,              0.0003962,              0.0003962,              0.0003962
                     83,                  0.125,                0.17178,                0.97361,                0.98187,                0.99965,                0.98647,                0.96084,                0.21168,                0.20785,                0.35623,              0.0003764,              0.0003764,              0.0003764
                     84,                0.11866,                0.15729,                0.96246,                0.98161,                      1,                0.98655,                0.96196,                0.23371,                0.28199,                0.39787,              0.0003566,              0.0003566,              0.0003566
                     85,                0.12289,                0.16671,                0.97508,                0.98169,                      1,                0.98767,                 0.9586,                0.26064,                0.28357,                0.43306,              0.0003368,              0.0003368,              0.0003368
                     86,                  0.126,                0.17438,                0.97621,                0.98171,                      1,                0.98765,                0.95841,                0.25237,                0.25272,                0.41306,               0.000317,               0.000317,               0.000317
                     87,                0.12515,                0.16327,                0.97229,                0.98161,                      1,                0.98747,                0.95259,                0.26936,                 0.2796,                 0.4448,              0.0002972,              0.0002972,              0.0002972
                     88,                    inf,                0.15911,                0.96807,                 0.9801,                      1,                0.98779,                0.95598,                0.26058,                0.26742,                0.43235,              0.0002774,              0.0002774,              0.0002774
                     89,                0.12468,                0.16928,                0.97578,                0.98177,                      1,                0.98809,                0.95878,                0.27473,                0.26942,                0.44216,              0.0002576,              0.0002576,              0.0002576
                     90,                0.11745,                0.16531,                0.96993,                0.98151,                      1,                0.98712,                0.95956,                0.28881,                0.27222,                0.45687,              0.0002378,              0.0002378,              0.0002378
                     91,                0.11018,                0.22248,                 1.0047,                0.98152,                      1,                0.98687,                0.95564,                0.25483,                0.29143,                0.42246,               0.000218,               0.000218,               0.000218
                     92,                0.10986,                0.12381,                 1.0014,                0.98161,                      1,                0.98775,                0.95651,                0.27236,                0.27228,                0.43721,              0.0001982,              0.0001982,              0.0001982
                     93,                  0.104,                0.12073,                 1.0056,                0.98017,                      1,                0.98742,                0.95891,                0.24571,                0.31937,                0.39984,              0.0001784,              0.0001784,              0.0001784
                     94,                0.10075,                0.12114,                 0.9876,                0.98197,                0.99846,                0.98735,                  0.957,                0.24415,                0.31717,                0.40505,              0.0001586,              0.0001586,              0.0001586
                     95,                0.10381,                0.12129,                0.99436,                0.98161,                      1,                 0.9881,                0.96502,                0.23216,                0.25489,                0.39023,              0.0001388,              0.0001388,              0.0001388
                     96,                0.10011,                 0.1168,                0.99388,                0.98152,                      1,                0.98674,                0.95692,                0.26081,                0.26262,                 0.4263,               0.000119,               0.000119,               0.000119
                     97,                0.09538,                0.11583,                0.99227,                0.98149,                      1,                0.98712,                0.95555,                0.25454,                0.30768,                 0.4039,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 0.0973,                0.11827,                0.98378,                0.98145,                      1,                0.98704,                0.95514,                0.23661,                 0.2683,                0.40392,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.09142,                0.11124,                0.98495,                0.98159,                      1,                 0.9873,                0.95804,                0.24754,                0.25861,                0.41918,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.09437,                0.11232,                0.98895,                0.98081,                      1,                0.98705,                0.95839,                0.24475,                0.25658,                0.41163,               3.98e-05,               3.98e-05,               3.98e-05
